# wavelength (nm), throughput
551.2999878,0.049963647
551.4000244,0.052289957
551.5,0.054582758
551.5999756,0.05683314
551.7000122,0.059020504
551.7999878,0.061133775
551.9000244,0.06316809
552,0.065079627
552.0999756,0.066892956
552.2000122,0.068594219
552.2999878,0.07015264
552.4000244,0.071576671
552.5,0.072850579
552.5999756,0.073963064
552.7000122,0.074898975
552.7999878,0.075671513
552.9000244,0.076243239
553,0.076627486
553.0999756,0.076782603
553.2000122,0.07673557
553.2999878,0.076483713
553.4000244,0.076016902
553.5,0.075358041
553.5999756,0.074478063
553.7000122,0.07340766
553.7999878,0.072122744
553.9000244,0.070653363
554,0.069013946
554.0999756,0.067203855
554.2000122,0.065233659
554.2999878,0.063093285
554.4000244,0.060787121
554.5,0.058358746
554.5999756,0.055814394
554.7000122,0.053138023
554.7999878,0.050381808
554.9000244,0.047557058
555,0.044667351
555.0999756,0.041752278
555.2000122,0.038785962
555.2999878,0.035826542
555.4000244,0.032890487
555.5,0.029984384
555.5999756,0.027141699
555.7000122,0.036113371
555.7999878,0.038373068
555.9000244,0.04061917
556,0.042913462
556.0999756,0.045192604
556.2000122,0.047479511
556.2999878,0.04975009
556.4000244,0.051985535
556.5,0.054181302
556.5999756,0.056335889
556.7000122,0.058437712
556.7999878,0.060456723
556.9000244,0.062389959
557,0.064250621
557.0999756,0.06599168
557.2000122,0.067619657
557.2999878,0.069137028
557.4000244,0.070513387
557.5,0.071739531
557.5999756,0.072826687
557.7000122,0.073732801
557.7999878,0.074499471
557.9000244,0.075067434
558,0.075467061
558.0999756,0.075695351
558.2000122,0.075762696
558.2999878,0.075620801
558.4000244,0.075281754
558.5,0.074737941
558.5999756,0.073995761
558.7000122,0.073070798
558.7999878,0.071938887
558.9000244,0.070636546
559,0.069145106
559.0999756,0.06744073
559.2000122,0.065580788
559.2999878,0.063553259
559.4000244,0.061377411
559.5,0.059045831
559.5999756,0.056618937
559.7000122,0.05406875
559.7999878,0.051427637
559.9000244,0.048704335
560,0.045931757
560.0999756,0.043086683
560.2000122,0.040201584
560.2999878,0.037318147
560.4000244,0.034429969
560.5,0.031581185
560.5999756,0.028771298
560.7000122,0.026022007
560.7999878,0.036217283
560.9000244,0.038367091
561,0.040561649
561.0999756,0.042774057
561.2000122,0.044980972
561.2999878,0.047185807
561.4000244,0.049372073
561.5,0.051539796
561.5999756,0.053649226
561.7000122,0.055730689
561.7999878,0.057740661
561.9000244,0.059684047
562,0.061537453
